name,ipv4,map
101,10.128.3,0
103,10.128.3,0
104,10.128.3,0
105,10.128.3,0
106,10.128.3,0
107,10.128.3,0
204,10.128.3,1
205,10.128.3,1
207,10.128.3,1
208,10.128.3,1
209,10.128.3,1
211,10.128.3,1
212,10.128.3,1
215,10.128.3,1
balla,10.0.3,2
ballb,10.0.3,2
ballc,10.0.3,2
ballde,10.0.3,2
ballf,10.0.3,2
ballg,10.0.3,2
ballh,10.0.3,2
ballhall,10.0.3,2
balli,10.0.3,2
ballj,10.0.3,2
expo,10.0.3,2
game,10.0.3,2
lowconf,10.128.3,0
new,10.128.3,3
reflash,10.0.3,3
reghall,10.0.3,2
spare,10.0.3,3
unknown,10.0.3,3
