name,mac-address,ipv6,ipv4,ansible-role
server1,4c:72:b9:7c:41:17,,,
server2,4c:72:b9:7c:40:ec,,,
server3,4c:72:b9:7c:44:88,,,
server4,4c:72:b9:7c:43:27,,,
server5,4c:72:b9:7c:41:d6,,,
server6,4c:72:b9:7c:42:12,,,
server7,4c:72:b9:7c:3a:f9,,,
server8,4c:72:b9:7c:42:21,,,
server9,4c:72:b9:7c:3e:1d,,,
server10,4c:72:b9:7c:3f:bc,,,
core1,58:9c:fc:00:38:5f,2001:470:f0fb:103::5,10.0.3.5,core
monitoring1,58:9c:fc:0a:a8:f3,2001:470:f0fb:103::6,10.0.3.6,monitoring
automation1,58:9c:fc:05:4a:f9,2001:470:f0fb:103::7,10.0.3.7,automation
pkgcache,02:d7:ea:6f:f5:0b,2001:470:f0fb:103::19,10.0.3.19,norole
